"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,demographics,,text,"Record ID",,,,,,,,,,,,," @HIDDEN"
age,demographics,,text,"D1.  What is your current age in years?",,"Age in years",number,18,120,,[event-id]='87079',y,,,,,
sex_at_birth,demographics,,radio,"D2.  What sex were you assigned at birth, on your original birth certificate?","1, Female | 2, Male | 3, Intersex | 4, None of these describe me",,,,,,[event-id]='87079',y,,,,,
race_ethnicity,demographics,,checkbox,"D3.  What is your race and/or ethnicity? (Please select all that apply)","1, American Indian or Alaska Native | 2, Asian, Asian American, or Southeast Asian, including Chinese, Japanese, and others | 3, Black or African American | 4, Hispanic or Latino(a) or Latine/x | 5, Middle Eastern or North African | 6, Native Hawaiian or Other Pacific Islander | 7, White or Caucasian | 8, Something else (specify)  {race_ethnicity_other}",,,,,,[event-id]='87079',y,,,,,
race_ethnicity_other,demographics,,text,"D3a.  Please describe race and/or ethnicity.",,,,,,,"[race_ethnicity(8)] = '1'",y,,,,,
education,demographics,,radio,"D4.  What is the highest grade or level of school you have completed or the highest degree you have received?","1, Did not complete high school (enter highest grade level completed)  {education_gradelevel} | 2, High school diploma, GED, or equivalent | 3, Some technical or college, but no certificate or degree | 4, Technical/trade/certificate school or program | 5, Some Associate or Bachelor's work, but no degree | 6, Associate's Degree (e.g., AA or AS) | 7, Bachelor's Degree (e.g., BA or BS) or higher | 8, Some graduate work, but no degree | 9, Graduate degree (e.g., Masters, Doctorate, other)",,,,,,,y,,,,,
education_gradelevel,demographics,,text,"D4a.  Highest grade level completed",,,number,0,12,,[education]='1',y,,,,,
workplace,demographics,,radio,"D5.  What is your primary workplace?","1, Criminal justice, legal system, or public safety setting | 2, Health care, behavioral health, or social services setting",,,,,,,y,,,,,
workplace_health,demographics,,radio,"D5a.  If a criminal justice, legal system, or public safety setting, do you work in a healthcare, behavioral health, or social services role?","1, Yes | 0, No",,,,,,[workplace]='1',y,,,,,
workplace_health_role,demographics,,radio,"D5a1.  If the setting or role is health care, behavioral health, or social service delivery options, which of the following best describes your primary professional role in your current job?  (Select one.)","1, Physician, Nurse Practitioner, Physician Assistant, or other Prescribing Medical Professional | 2, Pharmacist/pharmacy technician | 3, Registered Nurse or Licensed Practical Nurse | 4, Certified or licensed mental or behavioral health professional (e.g., LCPC, LPC, LCSW, LSW LMFT, LPC, Addictions Counselor). | 5, Peer Recovery Support Specialist / Recovery Support Staff | 6, Non-certified or non-licensed mental or behavioral health professional | 7, Case Manager | 8, Crisis Response / first responder | 9, Support and coordination Staff (e.g., intake, care coordination outreach, linkage manager) | 10, Other role not listed (specify)  {workplace_health_other}",,,,,,"[workplace]='2' or [workplace_health]='1'",y,,,,,
